Date,Town,State/Province,Latitude,Longitude,Number
12/1/2014,Queretaro,QUE,20.6,-100.4,32
11/18/2014,Ciudad Victoria,TAM,23.8,-99.2,70
11/16/2014,Richmond,TX,29.6,-95.7,200
11/11/2014,Asociación Rosa Imelda Rodríguez Barrón,TAM,23.7,-99.1,100000
11/11/2014,Monterrey,NL,25.7,-100.3,300
11/11/2014,St. George Island,FL,29.7,-84.8,1000
11/11/2014,Ciudad Victoria,TAM,23.8,-99.2,100
11/10/2014,La Cieneguilla,TAM,23.8,-99.8,300
11/10/2014,La Cieneguilla,TAM,23.8,-99.8,450
11/9/2014,La Peña,TAM,23.6,-99.7,100
11/9/2014,Monterrey,NL,25.7,-100.3,2000
11/8/2014,Monterrey,NL,25.7,-100.3,1000
11/8/2014,Saltillo,COA,25.4,-101,154
11/8/2014,Saltillo,COA,25.4,-101,300
11/8/2014,Saltillo,COA,25.4,-101,56
11/8/2014,Monclova,COA,26.9,-101.4,300
11/8/2014,Monterrey,NL,24.9,-99.6,300
11/8/2014,Monterrey,NL,24.9,-99.6,300
11/7/2014,Sabinas,COA,27.9,-101.1,32
11/5/2014,Saltillo,COA,25.4,-101,132
11/5/2014,San Luis Potosí,SLP,22.2,-100.8,100
11/4/2014,Camino del Agua,COA,25.4,-100.9,600
11/4/2014,Saltillo,COA,25.4,-101,26
11/3/2014,Saltillo,COA,25.4,-101,32
11/3/2014,Saltillo,COA,25.4,-101,14
11/2/2014,Saltillo,COA,24.9,-99.6,27
11/2/2014,Monclova,COA,26.9,-101.4,3000
11/2/2014,Saltillo,COA,25.4,-101,30
11/1/2014,Jaumave,TAM,23.5,-99.6,5000
11/1/2014,Saltillo,COA,24.9,-99.6,160
11/1/2014,Saltillo,COA,25.4,-101,34
11/1/2014,Jaumave County,TAM,23.5,-99.6,1
10/31/2014,Saltillo,COA,24.9,-99.6,100
10/31/2014,Jiménez,COA,29.1,-100.7,500
10/31/2014,Acuna,COA,29.3,-100.9,2000
10/30/2014,"Fair Oaks Ranch,",TX,29.7,-98.7,120
10/30/2014,San Antonio,TX,29.5,-98.5,500
10/30/2014,Bulverde,TX,29.8,-98.5,1000
10/30/2014,San Antonio,TX,29.5,-98.5,600
10/30/2014,"el Capulin, santuario Cerro Pelon",MIC,19.4,-100.2,8
10/30/2014,Austin,TX,30.2,-97.7,100
10/30/2014,Cerro Pelon,MIC,19.4,-100.2,200
10/30/2014,Eagle Pass,TX,28.7,-100.5,1000
10/30/2014,Mercedes,TX,26.1,-97.9,5
10/30/2014,Querétaro,QUE,20.6,-100.4,6
10/29/2014,Dripping Springs,TX,30.3,-98.1,30
10/29/2014,Dripping Springs,TX,30.3,-98.1,42
10/29/2014,Austin,TX,30.3,-97.8,53
10/29/2014,Austin,TX,30.2,-97.7,100
10/29/2014,Loma Alta,TX,29.9,-100.8,500
10/29/2014,Fort Walton Beach,FL,30.4,-86.6,15
10/29/2014,Fort Walton Beach,FL,30.4,-86.6,10
10/29/2014,Fort Walton Beach,FL,30.4,-86.6,10
10/29/2014,Del Rio,TX,29.9,-100.9,20
10/29/2014,San Antonio,TX,29.5,-98.5,5000
10/29/2014,Sabinas,COA,27.8,-101.1,68
10/29/2014,Comstock,TX,29.7,-101.3,1000
10/28/2014,Saltillo,COA,25.4,-101,54
10/28/2014,Kerens,TX,32.1,-96.2,207
10/28/2014,Killeen,TX,31.1,-97.7,300
10/28/2014,Cape May Point,NJ,38.9,-74.9,100
10/28/2014,Saltillo,COA,25.4,-101,23
10/28/2014,West,TX,31.8,-97.1,86
10/28/2014,Sonora,TX,30.3,-100.7,200
10/28/2014,Sabinas,COA,27.8,-101.1,16
10/27/2014,Kerens,TX,32.1,-96.2,200
10/27/2014,Cape May Point,NJ,38.9,-74.9,100
10/27/2014,Parksley,VA,37.8,-75.6,24
10/26/2014,Slidell,LA,30.3,-89.8,44
10/26/2014,Pine Knoll Shores,NC,34.7,-76.8,16
10/26/2014,Slidell,LA,30.3,-89.8,150
10/26/2014,Houston,TX,29.8,-95.4,10
10/26/2014,Hunt,TX,30,-99.6,60
10/26/2014,Salter Path,NC,34.7,-76.9,35
10/26/2014,Destin,FL,30.4,-86.5,63
10/26/2014,Santa Rosa Beach,FL,30.4,-86.2,250
10/26/2014,Saltillo,COA,25.3,-100.6,200
10/26/2014,Los Pinolillos,NL,25.6,-100.1,32
10/26/2014,Pacific Grove,CA,36.6,-121.9,1
10/26/2014,myrtle beach,SC,33.7,-78.9,15
10/25/2014,N. Beach Haven,NJ,39.6,-74.2,50
10/25/2014,Sunset Beach,NC,33.9,-78.5,98
10/25/2014,Santa Rosa Beach,FL,30.4,-86.2,600
10/25/2014,Choctaw Beach,FL,30.5,-86.3,27
10/25/2014,Santa Rosa Beach,FL,30.4,-86.2,29
10/25/2014,Leakey,TX,29.9,-99.8,100
10/25/2014,Sullivans Island,SC,32.8,-79.8,120
10/25/2014,Brunswick county beaches,NC,33.9,-78.3,100
10/25/2014,Dare County,NC,35.8,-75.8,300
10/24/2014,Coppell,TX,33,-97,100
10/24/2014,Killeen,TX,31.1,-97.7,100
10/24/2014,pawleys island,SC,33.4,-79.2,40
10/24/2014,"Emerald Isle, NC",NC,34.7,-77,30
10/24/2014,San Pedro Garza García,NL,25.8,-100.3,1286
10/24/2014,Acuña,COA,29.5,-101.8,100
10/24/2014,Leakey,TX,29.9,-99.8,200
10/24/2014,St. Marks,FL,38.9,-74.9,1
10/24/2014,Santa Catarina,NL,25.7,-100.5,26
10/23/2014,Killeen,TX,31.1,-97.7,50
10/23/2014,Corolla,NC,36.3,-75.8,90
10/23/2014,pelican island,NC,34.2,-77.8,42
10/23/2014,Fort Hood,TX,31.3,-97.7,50
