Town,State/Province,Number,Latitude,Longitude,Date
El Naranho,MIC,300,19.4,-100.3,11/15/2019
El C√©reo,MIC,200,19.9,-100.2,11/13/2019
Brownsboro,TX,100,32.3,-95.6,11/11/2019
Monterrey,NLE,1200,25.6,-100.3,11/11/2019
Fairhope,AL,50,30.5,-87.9,11/10/2019
Santa Catarina,NLE,2100,25.6,-100.5,11/10/2019
Celaya,GUA,71,20.6,-100.9,11/9/2019
Elgin,TX,12,30.4,-97.4,11/9/2019
San Antonio,TX,50,29.5,-98.5,11/6/2019
GÛmez FarÌas,TAM,200,23.1,-99.2,11/6/2019
Saltillo,COA,60,25.3,-101,11/6/2019
Willis,TX,100,30.4,-95.6,11/3/2019
Montenegro,QUE,1000,20.8,-100.4,11/3/2019
Sugar Land,TX,21,29.6,-95.6,11/2/2019
San Juan de la Vega,GUA,50,20.6,-100.8,11/2/2019
Port Bolivar,TX,50,29.5,-94.6,11/2/2019
Galveston,TX,53,29.1,-95.1,11/1/2019
Sugar Land,TX,50,29.6,-95.6,11/1/2019
Daphne,AL,101,30.6,-87.9,11/1/2019
Macheros,MEX,54,19.4,-100.3,10/31/2019
Texas City,TX,33,29.4,-95,10/30/2019
Gulf Shores,AL,100,30.2,-88,10/30/2019
GÛmez FarÌas,TAM,1800,23,-99.1,10/30/2019
Santa Catarina,NLE,12000,25.7,-100.5,10/29/2019
Cape May,NJ,19,38.9,-74.9,10/29/2019
Alaquines,SLP,3000,22,-99.5,10/29/2019
Armadillo de los Infante,SLP,720,22.2,-100.7,10/29/2019
,NLE,80,25.8,-100.4,10/29/2019
Crawfordville,FL,71,30.1,-84.2,10/28/2019
Tequisquiapan,QUE,500,20.5,-99.9,10/28/2019
New Ringgold,PA,4,40.6,-76,10/28/2019
Caldwell,TX,100,30.6,-96.7,10/27/2019
Niceville,FL,30,30.5,-86.4,10/27/2019
Crawfordville,FL,50,30.1,-84.2,10/27/2019
Flatonia,TX,25,29.7,-97.1,10/27/2019
Surfside Beach,TX,50,29,-95.2,10/27/2019
Chapman Ranch,TX,50,27.6,-97.5,10/27/2019
GÛmez FarÌas,TAM,2400,23,-99.2,10/27/2019
Alaquines,SLP,500,22,-99.5,10/27/2019
Bayside,TX,100,28.1,-97.2,10/27/2019
Corpus Christi,TX,75,27.8,-97.4,10/26/2019
Natalia,TX,17,29.2,-98.8,10/26/2019
Monterrey,NLE,80,25.6,-100.3,10/26/2019
Agua Dulce,NLE,100,25.1,-99.9,10/26/2019
Sapelo Island,GA,30,31.4,-81.3,10/26/2019
Natalia,TX,38,29.2,-98.8,10/25/2019
Fairhope,AL,15,30.5,-87.9,10/25/2019
Victoria,TAM,200,23.7,-99.1,10/25/2019
Point Clear,AL,500,30.5,-87.9,10/24/2019
Newport News,VA,12,37.1,-76.5,10/24/2019
Ocean Beach,NY,28,40.6,-73.2,10/24/2019
Tylertown,MS,10,31.1,-90.1,10/24/2019
Isle Of Palms,SC,500,32.8,-79.7,10/24/2019
Amherstburg,ON,4,42,-83,10/24/2019
Mcveytown,PA,3,40.5,-77.8,10/24/2019
New Ringgold,PA,4,40.6,-76,10/24/2019
Isle Of Palms,SC,100,32.8,-79.7,10/23/2019
Daphne,AL,200,30.6,-87.9,10/23/2019
Dilley,TX,11,28.7,-99.2,10/23/2019
Mcveytown,PA,6,40.5,-77.8,10/23/2019
Media,PA,3,39.9,-75.4,10/23/2019
Austin,TX,10,30.3,-97.7,10/22/2019
Austin,TX,300,30.4,-97.7,10/22/2019
Leander,TX,10,30.5,-97.9,10/22/2019
Eagle Pass,TX,19,28.7,-100.5,10/22/2019
Carrizo Springs,TX,17,28.5,-99.9,10/22/2019
Orange Beach,AL,500,30.3,-87.7,10/22/2019
Fort Walton Beach,FL,500,30.4,-86.6,10/22/2019
San Antonio,TX,12,29.5,-98.5,10/22/2019
Santa Catarina,NLE,200,25.7,-100.5,10/22/2019
Metairie,LA,100,30.1,-90.1,10/22/2019
Plano,TX,60,33,-96.7,10/21/2019
Saltillo,COA,55,25.4,-101,10/21/2019
Saltillo,COA,200,25.4,-101,10/21/2019
Houston,TX,20,29.8,-95.6,10/21/2019
Mcveytown,PA,4,40.5,-77.8,10/21/2019
New Ringgold,PA,51,40.6,-76,10/21/2019
Gulf Shores,AL,200,30.2,-88,10/20/2019
Rockwall,TX,200,32.9,-96.5,10/20/2019
San Pedro Garza Garc√≠a,NLE,500,25.6,-100.4,10/20/2019
Arlington,TX,40,32.7,-97.2,10/20/2019
Garc√≠a,NLE,257,25.8,-100.6,10/20/2019
Fairhope,AL,40,30.5,-87.9,10/20/2019
Point Pelee National Park,ON,25,41.9,-82.5,10/20/2019
Folly Beach,SC,100,32.7,-79.9,10/20/2019
Washington,AR,165,33.8,-93.8,10/20/2019
Rockwall,TX,4500,32.9,-96.5,10/20/2019
Plano,TX,100,33,-96.7,10/20/2019
Monterrey,NLE,100,25.7,-100.4,10/20/2019
Cadereyta Jim√©nez,NLE,20,25.6,-100,10/20/2019
Bosques de la Silla,NLE,760,25.6,-100.1,10/20/2019
La Ci√©nega de Gonz√°lez,NLE,93,25.4,-100.2,10/20/2019
San Antonio,TX,30,29.4,-98.5,10/20/2019
Carrollton,TX,100,33,-96.9,10/20/2019
Rockwall,TX,23,33,-96.5,10/19/2019
Mckinney,TX,40,33.2,-96.6,10/19/2019
Canyon Lake,TX,40,29.9,-98.2,10/19/2019
